Unix,Date,Symbol,Open,High,Low,Close,Volume FIS,Volume BRL,tradecount
1665187200000,2022-10-08,FISBRL,1.729,1.74,1.681,1.694,723633.1,1234331.2844,851
1665100800000,2022-10-07,FISBRL,1.716,1.723,1.687,1.712,9934.3,16918.3678,33
1665014400000,2022-10-06,FISBRL,1.729,1.75,1.7,1.701,50371.1,86942.1025,140
1664928000000,2022-10-05,FISBRL,1.719,1.759,1.711,1.719,17156.1,29699.5493,78
1664841600000,2022-10-04,FISBRL,1.7,1.781,1.682,1.724,63293.2,110099.5329,231
1664755200000,2022-10-03,FISBRL,1.709,1.739,1.65,1.704,224110.4,382547.6823,339
1664668800000,2022-10-02,FISBRL,1.69,1.897,1.685,1.706,228756.7,409517.4569,565
1664582400000,2022-10-01,FISBRL,1.719,1.771,1.69,1.7,87829.2,149792.4358,161
1664496000000,2022-09-30,FISBRL,1.76,2.347,1.707,1.729,364759.9,734144.1132,1723
1664409600000,2022-09-29,FISBRL,1.718,1.765,1.715,1.744,11472.3,20027.423,70
1664323200000,2022-09-28,FISBRL,1.677,1.865,1.65,1.71,96695.7,170595.9983,336
1664236800000,2022-09-27,FISBRL,1.728,1.739,1.671,1.677,52694.8,89032.5008,101
1664150400000,2022-09-26,FISBRL,1.698,1.728,1.65,1.694,3448.6,5751.9376,27
1664064000000,2022-09-25,FISBRL,1.709,1.713,1.698,1.698,1942.2,3302.1659,7
1663977600000,2022-09-24,FISBRL,1.729,1.8,1.68,1.709,1292620.8,2236767.7529,458
1663891200000,2022-09-23,FISBRL,1.715,1.74,1.654,1.735,12614.0,21309.3943,60
1663804800000,2022-09-22,FISBRL,1.65,1.735,1.65,1.715,5820.1,9812.5162,38
1663718400000,2022-09-21,FISBRL,1.653,1.719,1.621,1.64,13933.4,23070.3344,96
1663632000000,2022-09-20,FISBRL,1.735,1.8,1.655,1.662,2069770.0,3600194.3449,423
1663545600000,2022-09-19,FISBRL,1.711,1.765,1.68,1.724,61563.7,104970.735,200
1663459200000,2022-09-18,FISBRL,1.834,1.844,1.7,1.701,735170.8,1280408.03,600
1663372800000,2022-09-17,FISBRL,1.788,2.55,1.784,1.844,309169.7,656095.2144,1532
1663286400000,2022-09-16,FISBRL,1.76,1.809,1.76,1.781,428217.9,764530.0011,1741
1663200000000,2022-09-15,FISBRL,1.781,1.849,1.742,1.769,911163.5,1646169.5764,502
1663113600000,2022-09-14,FISBRL,1.759,1.799,1.734,1.79,1159812.3,2031635.0572,844
1663027200000,2022-09-13,FISBRL,1.897,1.991,1.7,1.75,560089.6,991351.6729,632
1662940800000,2022-09-12,FISBRL,1.886,1.959,1.837,1.882,8599.7,16507.2983,131
1662854400000,2022-09-11,FISBRL,1.865,1.98,1.851,1.897,222112.2,431764.7209,449
1662768000000,2022-09-10,FISBRL,1.8,1.918,1.793,1.865,21951.2,40643.996,124
1662681600000,2022-09-09,FISBRL,1.75,1.9,1.735,1.8,3747682.8,6884803.812,1713
1662595200000,2022-09-08,FISBRL,1.73,1.8,1.7,1.748,470602.9,820436.2862,441
1662508800000,2022-09-07,FISBRL,1.67,1.799,1.67,1.739,2207204.5,3853741.4083,804
1662422400000,2022-09-06,FISBRL,1.736,1.75,1.686,1.686,28260.7,48743.5572,105
1662336000000,2022-09-05,FISBRL,1.704,1.742,1.69,1.736,17977.0,30694.0527,63
1662249600000,2022-09-04,FISBRL,1.7,1.731,1.7,1.729,9194.2,15786.8568,26
1662163200000,2022-09-03,FISBRL,1.7,1.728,1.689,1.719,7497.4,12674.5231,18
1662076800000,2022-09-02,FISBRL,1.7,1.8,1.69,1.705,562069.3,982488.3912,481
1661990400000,2022-09-01,FISBRL,1.707,1.71,1.663,1.696,26190.8,44259.7123,63
1661904000000,2022-08-31,FISBRL,1.679,1.737,1.679,1.719,22411.8,38231.1554,95
1661817600000,2022-08-30,FISBRL,1.68,1.733,1.62,1.679,744153.6,1237325.4403,401
1661731200000,2022-08-29,FISBRL,1.606,1.69,1.595,1.676,40019.2,65343.9238,182
1661644800000,2022-08-28,FISBRL,1.694,1.719,1.596,1.6,25395.6,42678.9365,107
1661558400000,2022-08-27,FISBRL,1.648,1.781,1.637,1.681,69615.3,118797.6686,206
1661472000000,2022-08-26,FISBRL,1.752,1.802,1.634,1.634,2033379.5,3568151.8887,1159
1661385600000,2022-08-25,FISBRL,1.786,1.834,1.74,1.759,42420.1,76259.6612,180
1661299200000,2022-08-24,FISBRL,1.85,1.9,1.775,1.788,2536226.1,4693502.7538,1113
1661212800000,2022-08-23,FISBRL,1.779,1.87,1.771,1.851,20315.0,37109.3338,128
1661126400000,2022-08-22,FISBRL,1.82,1.834,1.719,1.771,12621.3,22009.0569,109
1661040000000,2022-08-21,FISBRL,1.753,1.875,1.753,1.823,33064.6,60294.0798,164
1660953600000,2022-08-20,FISBRL,1.753,1.856,1.701,1.746,1258676.3,2207473.3592,710
